gate_id	runnability	required	graduated	proof_state	fixture	reason
.github/workflows/01-pr-proof-contract.yml#format-check	LOCAL	n	n	PROVEN	format-check-violation	
.github/workflows/01-pr-proof-contract.yml#proof	LOCAL+TOOL	Y	n	NOT_LOCALLY_EXECUTABLE	-	required tool(s) unavailable on this host: playwright-browsers
.github/workflows/02-codeql.yml#analyze	CI-ONLY	n	n	CI_ONLY	-	not meaningfully executable locally; no local proof required
.github/workflows/03-semgrep.yml#advisory	LOCAL+TOOL	n	n	NOT_YET_MANDATORY	-	no P06/P07 implementation has graduated this gate yet; proof will be r
.github/workflows/03-semgrep.yml#blocking	LOCAL+TOOL	n	n	NOT_YET_MANDATORY	-	no P06/P07 implementation has graduated this gate yet; proof will be r
.github/workflows/05-workflow-security.yml#zizmor	LOCAL+TOOL	Y	n	UNPROVEN	workflow-template-injection	gate is empirically PROVEN UNABLE TO REJECT (finding fixture(s): workf
.github/workflows/06-dependency-review.yml#dependency-review	CI-ONLY	Y	n	CI_ONLY	-	not meaningfully executable locally; no local proof required
.github/workflows/07-coverage-patch.yml#coverage	LOCAL	n	n	NOT_YET_MANDATORY	-	no P06/P07 implementation has graduated this gate yet; proof will be r
.github/workflows/08-contract-and-data-integrity.yml#contracts	LOCAL	Y	n	PROVEN	drizzle-meta-stray	
.github/workflows/09-artifact-build-and-smoke.yml#artifact	LOCAL+TOOL	n	n	NOT_LOCALLY_EXECUTABLE	-	required tool(s) unavailable on this host: trivy
.github/workflows/10-ai-eval-critical.yml#deterministic	LOCAL	Y	n	NOT_YET_MANDATORY	-	no P06/P07 implementation has graduated this gate yet; proof will be r
.github/workflows/11-artifact-attestation.yml#attest	CI-ONLY	n	n	CI_ONLY	-	not meaningfully executable locally; no local proof required
.github/workflows/12-nightly-verification.yml#dependency-release-age	LOCAL	n	n	NOT_YET_MANDATORY	-	no P06/P07 implementation has graduated this gate yet; proof will be r
.github/workflows/12-nightly-verification.yml#full-container-scan	LOCAL+TOOL	n	n	NOT_LOCALLY_EXECUTABLE	-	required tool(s) unavailable on this host: trivy
.github/workflows/12-nightly-verification.yml#full-osv	LOCAL+TOOL	n	n	NOT_YET_MANDATORY	-	no P06/P07 implementation has graduated this gate yet; proof will be r
.github/workflows/12-nightly-verification.yml#mutation-diff	LOCAL	n	n	NOT_YET_MANDATORY	-	no P06/P07 implementation has graduated this gate yet; proof will be r
.github/workflows/12-nightly-verification.yml#scorecard	CI-ONLY	n	n	CI_ONLY	-	not meaningfully executable locally; no local proof required
.github/workflows/auto-merge-dependabot.yml#auto-merge	CI-ONLY	n	n	CI_ONLY	-	not meaningfully executable locally; no local proof required
.github/workflows/ci.yml#build	LOCAL	n	n	NOT_YET_MANDATORY	-	no P06/P07 implementation has graduated this gate yet; proof will be r
.github/workflows/ci.yml#db-tests	LOCAL	n	n	NOT_YET_MANDATORY	-	no P06/P07 implementation has graduated this gate yet; proof will be r
