law,canonical_repository,path,commit_sha,document_version,exact_section,ratification_status,scope,owner,enforcement_mechanism
Claims vocabulary (VERIFIED/INFERRED/UNKNOWN; hedge words banned as closers),tailered-ai/dime-ai,OPERATING-RULES.md,249bf314c131e0f34aa0f1aae393411e4e8c8d55,as committed,§Claims 1-3,RATIFIED (repo-local),all session claims in this repository,PREZ,PRXSTE.Hedging (advisory on PRX surfaces) + reviewer
Verification laws (DONE = acceptance run + raw output; production claims need production evidence),tailered-ai/dime-ai,OPERATING-RULES.md,249bf314c131e0f34aa0f1aae393411e4e8c8d55,as committed,§Verification 6-8,RATIFIED (repo-local),completion claims,PREZ,reviewer + PR-template Tests/Post-deployment sections
Exact-or-UNKNOWN verdicts (AMBIGUOUS banned),tailered-ai/dime-ai,OPERATING-RULES.md,249bf314c131e0f34aa0f1aae393411e4e8c8d55,as committed,§Verdict Standards,RATIFIED (repo-local),data verdicts,PREZ,reviewer; PRX uncertainty grammar (standard §6) mirrors it
No security-control override / blockers held not coded around,tailered-ai/dime-ai,OPERATING-RULES.md,249bf314c131e0f34aa0f1aae393411e4e8c8d55,as committed,§Scope 9,RATIFIED (repo-local),all agent work,PREZ,reviewer + CODEOWNERS on control paths
Merge to main IS a production deploy,tailered-ai/dime-ai,CLAUDE.md,249bf314c131e0f34aa0f1aae393411e4e8c8d55,as committed,§Deploy law,RATIFIED (repo-local),release process,PREZ,ruleset main-protection + PR template Deployment section
Schema changes ride db-push.yml before dependent code,tailered-ai/dime-ai,CLAUDE.md,249bf314c131e0f34aa0f1aae393411e4e8c8d55,as committed,§Deploy law,RATIFIED (repo-local),schema changes,PREZ,db-push.yml workflow + SchemaGuard
Co-Authored-By on agent commits,UNKNOWN (harness instruction; not a committed repo file),UNKNOWN,n/a,n/a,n/a,PROPOSED (practice measured at 50/50 in the Phase 0 baseline),agent-authored commits,PREZ,PRX-C-GOV validates the grammar wherever the trailer appears
17-field writing system,UNKNOWN (no file found in this repository),UNKNOWN,n/a,n/a,n/a,PROPOSED,unknown,PREZ,none; PRXSTE.Dashes records its dash conflict with measured house style
Closure Communication Agent (CCA) charter,UNKNOWN (no file found in this repository),UNKNOWN,n/a,n/a,n/a,PROPOSED,unknown,PREZ,none
Machine identity matrix,UNKNOWN (no file found in this repository),UNKNOWN,n/a,n/a,n/a,PROPOSED,unknown,PREZ,none; PRX-C-GOV checks identity syntax only (Name <email>)
No-override law,UNKNOWN as a distinct document (nearest ratified text is OPERATING-RULES.md §Scope 9),UNKNOWN,n/a,n/a,n/a,PROPOSED,unknown,PREZ,none beyond §Scope 9 row above
Correction-by-addition law,UNKNOWN (no file found in this repository),UNKNOWN,n/a,n/a,n/a,PROPOSED,unknown,PREZ,none; PRX evidence files are append-style but this is convention not law
Run-Id / Evidence governed trailers,UNKNOWN as ratified law (observed convention: os/one-shot/runs/ONE-*),os/one-shot/runs/,249bf314c131e0f34aa0f1aae393411e4e8c8d55,n/a,directory convention,PROPOSED (0/50 measured usage on main),governed one-shot work,PREZ,PRX-C-GOV + PRX-B-CAPSULE under the explicit scope predicate
